entso_unit_id,platts_unit_id,gppd_plant_id
11WD7HERN2S--4-X,1119202,WRI1005904
11WD7HERN2S--4-X,1119203,WRI1005904
11WD7HERN2S--4-X,1119204,WRI1005904
11WD7HERN2S--4-X,1119205,WRI1005904
11WD7HERN2S--4-X,1194960,WRI1005904
11WD7WSFN1S--E-Z,1157248,WRI1006141
11WD7WSFN1S--E-Z,1157249,WRI1006141
11WD7WSFN1S--E-Z,1157250,WRI1006141
11WD7WSFN1S--E-Z,1160107,WRI1006141
11WD7WSFN1S--E-Z,1194958,WRI1006141
16WSINES3------0,1260442,GBR0001590
16WSINES3------0,1148458,WRI1023227
16WSINES3------0,1148459,WRI1023227
16WSINES3------0,1148460,WRI1023227
16WSINES3------0,1148461,WRI1023227
16WSINES3------0,1200489,WRI1023227
16WSINES3------0,1148462,WRI1023227
16WSINES3------0,1148463,WRI1023227
16WSINES3------0,1148464,WRI1023227
16WSINES3------0,1148465,WRI1023227
16WSINES3------0,1148466,WRI1023227
17W100P100P0009R,1116243,WRI1002760
17W100P100P0009R,1116244,WRI1002760
17W100P100P0009R,1116245,WRI1002760
17W100P100P0009R,1116246,WRI1002760
17W100P100P0009R,1116247,WRI1002760
17W100P100P0009R,1116248,WRI1002760
17W100P100P0009R,1252397,WRI1002760
17W100P100P0009R,1116249,WRI1002760
18WBRR1-12345-DS,1129696,WRI1006636
18WMALA1-1234567,1195694,WRI1006664
19W000000000017D,1105004,WRI1023817
19W000000000017D,1105005,WRI1023817
19W000000000017D,1105006,WRI1023817
19W000000000017D,1105007,WRI1023817
19W000000000017D,1105008,WRI1023817
19W000000000017D,1105009,WRI1023817
19W000000000017D,1105010,WRI1023817
19W000000000017D,1105011,WRI1023817
19W000000000017D,1105012,WRI1023817
19W000000000017D,1105013,WRI1023817
19W000000000017D,1105014,WRI1023817
19W000000000017D,1105015,WRI1023817
19W000000000017D,1160980,WRI1023817
19W000000000017D,1188505,WRI1023817
19W000000000025E,1105004,WRI1023817
19W000000000025E,1105005,WRI1023817
19W000000000025E,1105006,WRI1023817
19W000000000025E,1105007,WRI1023817
19W000000000025E,1105008,WRI1023817
19W000000000025E,1105009,WRI1023817
19W000000000025E,1105010,WRI1023817
19W000000000025E,1105011,WRI1023817
19W000000000025E,1105012,WRI1023817
19W000000000025E,1105013,WRI1023817
19W000000000025E,1105014,WRI1023817
19W000000000025E,1105015,WRI1023817
19W000000000025E,1160980,WRI1023817
19W000000000025E,1188505,WRI1023817
19W0000000000296,1105004,WRI1023817
19W0000000000296,1105005,WRI1023817
19W0000000000296,1105006,WRI1023817
19W0000000000296,1105007,WRI1023817
19W0000000000296,1105008,WRI1023817
19W0000000000296,1105009,WRI1023817
19W0000000000296,1105010,WRI1023817
19W0000000000296,1105011,WRI1023817
19W0000000000296,1105012,WRI1023817
19W0000000000296,1105013,WRI1023817
19W0000000000296,1105014,WRI1023817
19W0000000000296,1105015,WRI1023817
19W0000000000296,1160980,WRI1023817
19W0000000000296,1188505,WRI1023817
19W000000000032H,1105004,WRI1023817
19W000000000032H,1105005,WRI1023817
19W000000000032H,1105006,WRI1023817
19W000000000032H,1105007,WRI1023817
19W000000000032H,1105008,WRI1023817
19W000000000032H,1105009,WRI1023817
19W000000000032H,1105010,WRI1023817
19W000000000032H,1105011,WRI1023817
19W000000000032H,1105012,WRI1023817
19W000000000032H,1105013,WRI1023817
19W000000000032H,1105014,WRI1023817
19W000000000032H,1105015,WRI1023817
19W000000000032H,1160980,WRI1023817
19W000000000032H,1188505,WRI1023817
19W000000000178Q,1144411,WRI1019033
19W000000000178Q,1144412,WRI1019033
19W000000000178Q,1144413,WRI1019033
19W000000000178Q,1144414,WRI1019033
19W000000000178Q,1144415,WRI1019033
19W000000000178Q,1144416,WRI1019033
19W000000000178Q,1144417,WRI1019033
19W000000000178Q,1144418,WRI1019033
19W000000000178Q,1214348,WRI1019033
24WG--EVOG16---5,1156387,GEODB0042632
24WG--EVOG16---5,1156388,GEODB0042632
24WG--EVOG16---5,1156389,GEODB0042632
24WG--EVOG16---5,1156390,GEODB0042632
24WG--EVOG16---5,1156391,GEODB0042632
24WG--EVOG16---5,1156392,GEODB0042632
24WG--EVOG16---5,1156393,GEODB0042632
24WG--EVOG16---5,1156394,GEODB0042632
24WG--EVOG16---5,1156395,GEODB0042632
24WG--EVOG16---5,1156396,GEODB0042632
24WG--EVOG16---5,1275108,GEODB0042632
24WG--EVOG16---5,1275109,GEODB0042632
24WG--EVOG16---5,1188402,GEODB0042632
24WG--EVOG16---5,1188400,GEODB0042632
24WG--EVOG16---5,1188401,GEODB0042632
26WUUUUCASSANO1K,1108643,WRI1002861
26WUUUUCASSANO1K,1108641,WRI1002861
26WUUUUCASSANO1K,1108642,WRI1002861
26WUUUUCASSANO1K,1168611,WRI1002861
26WUUUUCASSANO1K,1219872,WRI1002861
26WUUUUCASSANO1K,1179326,WRI1002861
26WUUUUCASSANO1K,1194377,WRI1002861
26WUUUUCASSANO1K,1198096,WRI1002861
44W-T-YT-100001J,1118495,WRI1002325
44W-T-YT-100001J,1118496,WRI1002325
44W-T-YT-100001J,1118497,WRI1002325
44W-T-YT-100001J,1118498,WRI1002325
48W000000SEAB-1V,1146533,GBR1000480
48W000000SEAB-1V,1162520,GBR1000480
48W000000SEAB-1V,1146532,GBR1000480
48W000000SEAB-1V,1187457,GBR1000480
48W000000SEAB-1V,1166117,GBR1000480
48W000000SEAB-1V,1260301,GBR1000480
48W000000SEAB-1V,1260302,GBR1000480
48W000000SEAB-1V,1260303,GBR1000480
48W000000SEAB-1V,1260304,GBR1000480
49W000000000020D,1199722,WRI1019289
49W000000000020D,1200084,WRI1019289
49W000000000030A,1130353,WRI1019295
49W000000000030A,1130353,WRI1019296
49W000000000030A,1130354,WRI1019295
49W000000000030A,1130354,WRI1019296
49W000000000030A,1195215,WRI1019295
49W000000000030A,1195215,WRI1019296
49W0000000000326,1130353,WRI1019295
49W0000000000326,1130353,WRI1019296
49W0000000000326,1130354,WRI1019295
49W0000000000326,1130354,WRI1019296
49W0000000000326,1195215,WRI1019295
49W0000000000326,1195215,WRI1019296
45W000000000113T,1218784,WRI1029995
45W000000000113T,1101821,WRI1029995
45W000000000113T,1101822,WRI1029995
45W000000000113T,1101823,WRI1029995
45W000000000113T,1268035,WRI1029995
